category,tool_name,tool_page,blog_page,blog_url
Basic PDF Tools,JPG to PDF,jpg-to-pdf.html,jpg-to-pdf-blog.html,https://uti-mate.com/jpg-to-pdf-blog.html
Basic PDF Tools,Merge PDF,merge-pdf.html,merge-pdf-blog.html,https://uti-mate.com/merge-pdf-blog.html
Calculators,Age Calculator,age-calculator.html,age-calculator-blog.html,https://uti-mate.com/age-calculator-blog.html
Calculators,BMI Calculator,bmi-calculator.html,bmi-calculator-blog.html,https://uti-mate.com/bmi-calculator-blog.html
Calculators,Compound Interest Calculator,compound-interest-calculator.html,compound-interest-calculator-blog.html,https://uti-mate.com/compound-interest-calculator-blog.html
Calculators,Date Difference Calculator,date-difference-calculator.html,date-difference-calculator-blog.html,https://uti-mate.com/date-difference-calculator-blog.html
Calculators,Discount Calculator,discount-calculator.html,discount-calculator-blog.html,https://uti-mate.com/discount-calculator-blog.html
Calculators,Loan Calculator,loan-calculator.html,loan-calculator-blog.html,https://uti-mate.com/loan-calculator-blog.html
Calculators,Percentage Calculator,percentage-calculator.html,percentage-calculator-blog.html,https://uti-mate.com/percentage-calculator-blog.html
Calculators,Profit Margin Calculator,profit-margin-calculator.html,profit-margin-calculator-blog.html,https://uti-mate.com/profit-margin-calculator-blog.html
Calculators,Time Duration Calculator,time-duration-calculator.html,time-duration-calculator-blog.html,https://uti-mate.com/time-duration-calculator-blog.html
Calculators,Tip Calculator,tip-calculator.html,tip-calculator-blog.html,https://uti-mate.com/tip-calculator-blog.html
Date & Time Tools,Countdown Timer,countdown-timer.html,countdown-timer-blog.html,https://uti-mate.com/countdown-timer-blog.html
Date & Time Tools,Pomodoro Timer,pomodoro-timer.html,pomodoro-timer-blog.html,https://uti-mate.com/pomodoro-timer-blog.html
Date & Time Tools,Stopwatch,stopwatch.html,stopwatch-blog.html,https://uti-mate.com/stopwatch-blog.html
Date & Time Tools,Unix Timestamp Converter,unix-timestamp-converter.html,unix-timestamp-converter-blog.html,https://uti-mate.com/unix-timestamp-converter-blog.html
Developer Tools,Base64 Encoder/Decoder,base64-encoder-decoder.html,base64-encoder-decoder-blog.html,https://uti-mate.com/base64-encoder-decoder-blog.html
Developer Tools,CSS Minifier,css-minifier.html,css-minifier-blog.html,https://uti-mate.com/css-minifier-blog.html
Developer Tools,Hash Generator,hash-generator.html,hash-generator-blog.html,https://uti-mate.com/hash-generator-blog.html
